access_no_snow,agency_name,agency_parent,agency_url,alternate_names,altitude_meters,backcountry,capacity_hut_max,capacity_hut_min,capacity_max,country,date_updated,designations,discretion,fee_hut_max,fee_hut_min,fee_hut_occupancy_max,fee_person_max,fee_person_min,fee_person_occupancy_min,has_optional_services,has_services,hut_url,is_fee_hut,is_fee_hut_occupancy_max,is_fee_person,is_fee_person_occupancy_min,is_restricted,is_snow_min_km,latitude,location_accuracy,location_references,locked,longitude,name,no_snow_min_km,open_summer,open_winter,photo_credit_name,photo_credit_url,photo_url,private,published,region,reservations,restriction,services,show_satellite,snow_min_km,state,structures,systems,types
Gated Road,10th Mountain Division Hut Association,,http://www.huts.org/,,3672,1,16,16,16,United States,2012-11-01,White River National Forest,0,,,,33,33,,0,0,http://www.huts.org/The_Huts/estin.html,0,0,1,0,0,1,39.46508,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.64961,Peter Estin Hut,0.3,1,1,,,http://www.huts.org/images/EstinWinterSmall.jpg,0,1,Sawatch Range,1,0,0,,8.0,Colorado,1,10th Mountain Division Huts,Hut
Gated Road,10th Mountain Division Hut Association,,http://www.huts.org/,,2956,1,16,16,16,United States,2012-11-01,White River National Forest,0,,,,33,33,,0,0,http://www.huts.org/The_Huts/gates.html,0,0,1,0,0,1,39.39989,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.64914,Harry Gates Hut,0.5,1,1,,,http://www.huts.org/images/gates-winter-1.jpg,0,1,Sawatch Range,1,0,0,,10.6,Colorado,1,10th Mountain Division Huts,Hut
Gated Road,10th Mountain Division Hut Association,,http://www.huts.org/,,3365,1,17,17,17,United States,2012-11-01,White River National Forest,0,,,,36,36,,0,0,http://www.huts.org/The_Huts/polar_star.html,0,0,1,0,0,1,39.52194,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.63392,Polar Star Inn,0.4,1,1,,,http://www.huts.org/images/hut_polar-winter_pcd15_hori.jpg,1,1,Sawatch Range,1,0,0,,9.3,Colorado,1,10th Mountain Division Huts,Hut
,10th Mountain Division Hut Association,,http://www.huts.org/,,3365,1,6,6,6,United States,2012-11-01,White River National Forest,0,276,276,,,,,0,0,http://www.huts.org/The_Huts/carls_cabin.html,1,0,0,0,0,1,39.52231,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.63344,Carl’s Cabin,,0,1,,,http://www.huts.org/images/hut_carls_polar-wint_pcd16.jpg,1,1,Sawatch Range,1,0,0,,9.3,Colorado,1,10th Mountain Division Huts,Hut
Gated Road,10th Mountain Division Hut Association,,http://www.huts.org/,,3383,1,16,16,16,United States,2012-11-01,White River National Forest,0,,,,33,33,,0,0,http://www.huts.org/The_Huts/bettybear.html,0,0,1,0,0,1,39.25614,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.52350,Betty Bear Hut,0.4,1,1,,,http://www.huts.org/images/hut_betty-winter_pcd50_hori.jpg,0,1,Sawatch Range,1,0,0,,11.0,Colorado,1,10th Mountain Division Huts,Hut
2WD Road,10th Mountain Division Hut Association,,http://www.huts.org/,,3541,1,16,16,16,United States,2012-11-01,San Isabel National Forest,0,,,,33,33,,0,0,http://www.huts.org/The_Huts/skinner.html,0,0,1,0,0,1,39.26600,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.46333,Skinner Hut,0.0,1,1,,,http://www.huts.org/images/hut_skinner_winter_pcd51_ho.jpg,0,1,Sawatch Range,1,0,0,,17.0,Colorado,1,10th Mountain Division Huts,Hut
Gated Road,10th Mountain Division Hut Association,,http://www.huts.org/,,3465,1,16,16,16,United States,2012-11-01,San Isabel National Forest,0,,,,33,33,,0,0,http://www.huts.org/The_Huts/uncle_buds.html,0,0,1,0,0,1,39.30136,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.40544,Uncle Bud's Hut,0.4,1,1,,,http://www.huts.org/images/hut_buds-winter_pcd10_hor.jpg,0,1,Sawatch Range,1,0,0,,9.4,Colorado,1,10th Mountain Division Huts,Hut
Gated Road,10th Mountain Division Hut Association,,http://www.huts.org/,,3465,1,16,16,16,United States,2012-11-01,San Isabel National Forest,0,,,,33,33,,0,0,http://www.huts.org/The_Huts/10th_mountain.html,0,0,1,0,0,1,39.36897,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.38689,10th Mountain Division Hut,0.4,1,1,,,http://www.huts.org/images/hut_10th_winter_pcd58_horizontal.jpg,0,1,Sawatch Range,1,0,0,,7.0,Colorado,1,10th Mountain Division Huts,Hut
Gated Road,10th Mountain Division Hut Association,,http://www.huts.org/,,3407,1,16,16,16,United States,2012-11-01,White River National Forest,0,,,,33,33,,0,0,http://www.huts.org/The_Huts/eiseman.html,0,0,1,0,0,1,39.69603,5,http://www.huts.org/In_The_Field/gps_info.html,1,-106.35203,Eiseman Hut,0.4,1,1,Ethan Welty,,,0,1,Gore Range,1,0,0,,10.9,Colorado,1,10th Mountain Division Huts,Hut
Trail,10th Mountain Division Hut Association,,http://www.huts.org/,,3200,2,8,8,8,United States,2012-11-01,San Isabel National Forest,0,304,304,,,,,0,0,http://www.huts.org/The_Huts/continental_divide.html,1,0,0,0,0,1,39.35722,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.32194,Continental Divide Cabin,1.3,1,1,,,http://www.huts.org/images/continental-divide.jpg,1,1,Gore Range,1,0,0,,1.3,Colorado,1,10th Mountain Division Huts,Hut
