access_no_snow,agency_name,agency_parent,agency_url,alternate_names,altitude_meters,backcountry,capacity_hut_max,capacity_hut_min,capacity_max,country,date_updated,designations,discretion,fee_hut_max,fee_hut_min,fee_hut_occupancy_max,fee_person_max,fee_person_min,fee_person_occupancy_min,has_optional_services,has_services,hut_url,is_fee_hut,is_fee_hut_occupancy_max,is_fee_person,is_fee_person_occupancy_min,is_restricted,is_snow_min_km,latitude,location_accuracy,location_references,locked,longitude,name,no_snow_min_km,open_summer,open_winter,photo_credit_name,photo_credit_url,photo_url,private,published,region,reservations,restriction,services,show_satellite,snow_min_km,state,structures,systems,types
WB,Bretton Woods Nordic Center,,http://brettonwoods.com/winter_sports/nordic/overview,,,2,,,,United States,2012-04-05,,,,,,,,,,,http://brettonwoods.com/winter_sports/nordic/overview,,0,,0,,,44.22504,2,,,-71.44347,Stickney Mountain Cabin,,,,,,,0,1,,,,,,,New Hampshire,1,,Hut
,Cardigan Hideaway,,http://cardiganhideaway.com/,,,0,5,4,,United States,2012-04-05,,,,,,,,,,,http://cardiganhideaway.com/yurt_and_property.html,,0,,0,,,43.65390,1,,,-71.97131,Cardigan Hideaway,,,,,,,1,1,,1,,,,,New Hampshire,1,,Yurt
,Dartmouth Outing Club,,http://www.dartmouth.edu/~doc/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,43.70254,,,0,-72.26523,Velvet Rocks Shelter,,,,,,,0,1,,0,,,,,New Hampshire,1,Appalachian Trail,Shelter
,Dartmouth Outing Club,,http://www.dartmouth.edu/~doc/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,43.72722,,,0,-72.14977,Moose Mountain Shelter,,,,,,,0,1,,0,,,,,New Hampshire,1,Appalachian Trail,Shelter
,Dartmouth Outing Club,,http://www.dartmouth.edu/~doc/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,43.78314,,,0,-72.11203,Trapper John Shelter,,,,,,,0,1,,0,,,,,New Hampshire,1,Appalachian Trail,Shelter
,Dartmouth Outing Club,,http://www.dartmouth.edu/~doc/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,43.82538,,,0,-72.03789,Fire Warden's Cabin,,,,,,,0,1,,0,,,,,New Hampshire,1,Appalachian Trail,Hut
,Dartmouth Outing Club,,http://www.dartmouth.edu/~doc/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,43.87627,,,0,-72.02738,Hexacuba Shelter,,,,,,,0,1,,0,,,,,New Hampshire,1,Appalachian Trail,Shelter
,Dartmouth Outing Club,,http://www.dartmouth.edu/~doc/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,43.92186,,,0,-71.95796,Ore Hill Shelter,,,,,,,0,1,,0,,,,,New Hampshire,1,Appalachian Trail,Shelter
,Dartmouth Outing Club,,http://www.dartmouth.edu/~doc/,,,2,10,10,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,43.99671,,,0,-71.88948,Jeffers Brook Shelter,,,,,,,0,1,,0,,,,,New Hampshire,1,Appalachian Trail,Shelter
,Dartmouth Outing Club,,http://www.dartmouth.edu/~doc/,,,2,10,10,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,44.03307,,,0,-71.81185,Beaver Brook Shelter,,,,,,,0,1,,0,,,,,New Hampshire,1,Appalachian Trail,Shelter
,Harvard Mountaineering Club,,http://www.harvardmountaineering.org/,,1072,2,16,16,,United States,2012-04-05,,,,,,,,,,,http://www.harvardmountaineering.org/cabin.htm,,0,,0,,,44.26788,2,,,-71.27870,Harvard Cabin,,,,,,,0,1,"White Mountains, Presidential Range",0,,,,,New Hampshire,1,,Hut
WB,Piper Mountain Yurt,,http://www.nhyurt.com/,,,2,4,4,,United States,2012-04-05,,,,,,,,,,,http://www.nhyurt.com/index.html,,0,,0,,,43.51171,1,,,-71.04133,Piper Mountain Yurt,,,,,,,1,1,,1,,,,,New Hampshire,1,,Yurt
,Randolph Mountain Club,,http://www.randolphmountainclub.org/,,1331,2,15,15,,United States,2012-04-05,,,,,,,,,,,http://www.randolphmountainclub.org/sheltersinfo/grayknob.html,,0,,0,,,44.33272,,,,-71.30957,Gray Knob,,,,,,,0,1,Presidential Range,0,,,,,New Hampshire,1,,Hut
,Randolph Mountain Club,,http://www.randolphmountainclub.org/,,1294,2,20,20,,United States,2012-04-05,,,,,,,,,,,http://www.randolphmountainclub.org/sheltersinfo/cragcamp.html,,0,,0,,,44.33498,,,,-71.30260,Crag Camp,,,,,,,0,1,Presidential Range,0,,,,,New Hampshire,1,,Hut
,Randolph Mountain Club,,http://www.randolphmountainclub.org/,,1314,2,8,8,,United States,2012-04-05,,,,,,,,,,,http://www.randolphmountainclub.org/sheltersinfo/theperch.html,,0,,0,,,44.32392,,,,-71.31205,The Perch,,,,,,,0,1,Presidential Range,0,,,,,New Hampshire,1,,Shelter
,Randolph Mountain Club,,http://www.randolphmountainclub.org/,,994,2,10,10,,United States,2012-04-05,,,,,,,,,,,http://www.randolphmountainclub.org/sheltersinfo/logcabin.html,,0,,0,,,44.34030,,,,-71.31538,The Log Cabin,,,,,,,0,1,Presidential Range,0,,,,,New Hampshire,1,,Hut
1.4,White Mountain National Forest,USFS,http://www.fs.fed.us/r9/forests/white_mountain/,,,2,8,8,,United States,2012-04-05,,,,,,,,,,,http://www.fs.fed.us/r9/forests/white_mountain/recreation/cabins/black_mtn_cabin.pdf,,0,,0,,,44.19750,,,1,-71.17222,Black Mountain Cabin,,,,,,,0,1,White Mountains,1,,,,,New Hampshire,1,,Hut
1.8,White Mountain National Forest,USFS,http://www.fs.fed.us/r9/forests/white_mountain/,,,2,8,8,,United States,2012-04-05,,,,,,,,,,,http://www.fs.fed.us/r9/forests/white_mountain/recreation/cabins/doublehead_cabin.pdf,,0,,0,,,44.16750,,,1,-71.13028,Doublehead Cabin,,,,,,,0,1,White Mountains,1,,,,,New Hampshire,1,,Hut
,,Appalachian Mountain Club,http://www.outdoors.org/lodging/,,,0,,,,United States,2012-04-05,,,,,,,,,,,http://www.outdoors.org/lodging/mohican/,,0,,0,,,41.03415,2,,,-75.00217,Mohican Outdoor Center,,,,,,,0,1,,1,,,,,New Jersey,1,,Lodge
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,5,5,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.15323,,,0,-74.83818,Brink Road Shelter,,,,,,,0,1,,0,,,,,New Jersey,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.19948,,,0,-74.75305,Gren Anderson Shelter,,,,,,,0,1,,0,,,,,New Jersey,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.25216,,,0,-74.68635,Mashipacong Shelter,,,,,,,0,1,,0,,,,,New Jersey,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.27746,,,0,-74.67822,Rutherford Shelter,,,,,,,0,1,,0,,,,,New Jersey,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.31576,,,0,-74.65767,High Point Shelter,,,,,,,0,1,,0,,,,,New Jersey,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.27126,,,0,-74.51534,Pochuck Mountain Shelter,,,,,,,0,1,,0,,,,,New Jersey,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.20222,,,0,-74.39813,Wawayanda Shelter,,,,,,,0,1,,0,,,,,New Jersey,1,Appalachian Trail,Shelter
boat,Adirondack Vacation Rentals,,http://adkguideboat.com/adirondack-vacation-rentals/,,,2,2,2,,United States,2012-04-05,,,,,,,,,,,http://adkguideboat.com/adirondack-vacation-rentals/teds-cabin.html,,0,,0,,,44.40564,1,,,-74.27719,Ted's Cabin,,,,,,,1,1,Adirondack,1,,,,,New York,1,,Hut
boat,Adirondack Vacation Rentals,,http://adkguideboat.com/adirondack-vacation-rentals/,,,2,4,4,,United States,2012-04-05,,,,,,,,,,,http://adkguideboat.com/adirondack-vacation-rentals/tent-camping.html,,0,,0,,,44.40564,1,,,-74.27719,Adirondacks Tent Camping,,,,,,,1,1,Adirondack,1,,,,,New York,1,,Yurt
,,Appalachian Mountain Club,http://www.outdoors.org/lodging/,,,0,24,24,,United States,2012-04-05,,,,,,,,,,,http://www.outdoors.org/lodging/cabins-campgrounds/camps-fire.cfm,,0,,0,,,40.66778,1,,,-73.06170,Fire Island Cabin,,,,,,,0,1,,1,,,,,New York,1,,Hut
0.66,Falls Brook Yurts,,http://www.fallsbrookyurts.com/,,,2,8,7,,United States,2012-04-05,,,,,,,,,,,http://www.fallsbrookyurts.com/id1.html,,0,,0,,,43.81149,1,,,-73.95713,Falls Brook Yurts,,,,,,,1,1,,1,,,,,New York,,,Yurt
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.26825,,,0,-74.26819,Wildcat Shelter,,,,,,,0,1,,0,,,,,New York,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.26328,,,0,-74.10442,Fingerboard Shelter,,,,,,,0,1,,0,,,,,New York,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.27974,,,0,-74.05972,William Brien Memorial Shelter,,,,,,,0,1,,0,,,,,New York,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.28236,,,0,-74.00963,West Mountain Shelter,,,,,,,0,1,,0,,,,,New York,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.51450,,,0,-73.79280,RPH Shelter,,,,,,,0,1,,0,,,,,New York,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.56455,,,0,-73.69215,Morgan Stewart Shelter,,,,,,,0,1,,0,,,,,New York,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.60384,,,0,-73.61925,Telephone Pioneers Shelter,,,,,,,0,1,,0,,,,,New York,1,Appalachian Trail,Shelter
,New York-New Jersey Trail Conference,,http://www.nynjtc.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,41.63783,,,0,-73.53285,Wiley Shelter,,,,,,,0,1,,0,,,,,New York,1,Appalachian Trail,Shelter
,Nantahala Hiking Club,,http://www.nantahalahikingclub.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.02061,,,0,-83.58155,Muskrat Creek Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Nantahala Hiking Club,,http://www.nantahalahikingclub.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.04186,,,0,-83.54817,Standing Indian Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Nantahala Hiking Club,,http://www.nantahalahikingclub.org/,,,2,14,14,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,34.99890,,,0,-83.49419,Carter Gap Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Nantahala Hiking Club,,http://www.nantahalahikingclub.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.05894,,,0,-83.47891,Big Spring Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Nantahala Hiking Club,,http://www.nantahalahikingclub.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.09148,,,0,-83.52314,Rock Gap Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Nantahala Hiking Club,,http://www.nantahalahikingclub.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.14411,,,0,-83.57258,Siler Bald Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Nantahala Hiking Club,,http://www.nantahalahikingclub.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.18936,,,0,-83.56452,Wayah Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Nantahala Hiking Club,,http://www.nantahalahikingclub.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.23098,,,0,-83.56007,Cold Spring Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Nantahala Hiking Club,,http://www.nantahalahikingclub.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.28237,,,0,-83.58222,Wesser Bald Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Nantahala Hiking Club,,http://www.nantahalahikingclub.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.32416,,,0,-83.59029,A. Rufus Morgan Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,14,14,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.33077,,,0,-83.66699,Sassafras Gap Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.37417,,,0,-83.73402,Brown Fork Gap Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.41513,,,0,-83.77353,Cable Gap Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,24,24,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.44839,,,0,-83.79408,Fontana Dam Shelter,,,,,,,0,1,,0,,,,,North Carolina,1,Appalachian Trail,Shelter
,Carolina Mountain Club,,http://www.carolinamtnclub.com/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.78174,,,0,-83.02645,Groundhog Creek Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Carolina Mountain Club,,http://www.carolinamtnclub.com/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.80490,,,0,-82.94991,Roaring Fork Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Carolina Mountain Club,,http://www.carolinamtnclub.com/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.83641,,,0,-82.93662,Walnut Mountain Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Carolina Mountain Club,,http://www.carolinamtnclub.com/,,,2,5,5,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.87586,,,0,-82.86138,Deer Park Mountian Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Carolina Mountain Club,,http://www.carolinamtnclub.com/,,,2,5,5,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.95168,,,0,-82.79021,Spring Mountain Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Carolina Mountain Club,,http://www.carolinamtnclub.com/,,,2,5,5,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,36.01501,,,0,-82.73606,Little Laurel Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Carolina Mountain Club,,http://www.carolinamtnclub.com/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,36.05646,,,0,-82.65727,Jerry Cabin,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Hut
,Carolina Mountain Club,,http://www.carolinamtnclub.com/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,36.03477,,,0,-82.59678,Flint Mountain Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Carolina Mountain Club,,http://www.carolinamtnclub.com/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.96399,,,0,-82.58727,Hog Back Ridge Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.54575,,,0,-83.79368,Mollies Ridge Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,14,14,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.56179,,,0,-83.76648,Russell Field Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.56178,,,0,-83.73266,Spence Field Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.56650,,,0,-83.64188,Derrick Knob Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.56426,,,0,-83.56824,Silers Bald Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.56507,,,0,-83.54272,Double Spring Gap Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.59392,,,0,-83.47106,Mt. Collins Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.62976,,,0,-83.38627,Icewater Spring Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.65075,,,0,-83.30867,Pecks Corner Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.69373,,,0,-83.25678,Tri-Corner Knob Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.72823,,,0,-83.18211,Cosby Knob Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Smoky Mountain Hiking Club,,http://www.smhclub.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,35.76919,,,0,-83.12358,Davenport Gap Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Tennessee Eastman Hiking and Canoeing Club,,http://www.tehcc.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,http://tehcc.org/wiki/TEHCC_AT,,0,1,0,,,36.12915,,,0,-82.26427,Cherry Gap Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Tennessee Eastman Hiking and Canoeing Club,,http://www.tehcc.org/,,,2,10,10,,United States,2012-04-05,,,,,,0,0,,,,http://tehcc.org/wiki/TEHCC_AT,,0,1,0,,,36.14843,,,0,-82.16133,Clyde Smith Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Tennessee Eastman Hiking and Canoeing Club,,http://www.tehcc.org/,,,2,15,15,,United States,2012-04-05,,,,,,0,0,,,,http://tehcc.org/wiki/TEHCC_AT,,0,1,0,,,36.10497,,,0,-82.12237,Roan High Knob Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Tennessee Eastman Hiking and Canoeing Club,,http://www.tehcc.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,http://tehcc.org/wiki/TEHCC_AT,,0,1,0,,,36.11227,,,0,-82.06586,Stan Murray Shelter,,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
,Tennessee Eastman Hiking and Canoeing Club,,http://www.tehcc.org/,,,2,20,20,,United States,2012-04-05,,,,,,0,0,,,,http://tehcc.org/wiki/TEHCC_AT,,0,1,0,,,36.12340,,,0,-82.05445,Overmountain Shelter (Yellow Mountain Barn),,,,,,,0,1,,0,,,,,"North Carolina,Tennessee",1,Appalachian Trail,Shelter
2,Cascade Huts,,http://www.cascadehuts.com/,,1228,2,8,8,,United States,2012-04-05,,,,,,,,,,,http://www.cascadehuts.com/winter_routes.php,,0,,0,,,45.28225,1,,,-121.68440,Barlow Butte Hut,,,,,,,1,1,Mt. Hood,1,,,,,Oregon,1,,Hut
4.6,Cascade Huts,,http://www.cascadehuts.com/,,998,2,8,8,,United States,2012-04-05,,,,,,,,,,,http://www.cascadehuts.com/winter_routes.php,,0,,0,,,45.28225,1,,,-121.68440,White River Hut,,,,,,,1,1,Mt. Hood,1,,,,,Oregon,1,,Hut
4.3,Cascade Huts,,http://www.cascadehuts.com/,,1386,2,8,8,,United States,2012-04-05,,,,,,,,,,,http://www.cascadehuts.com/winter_routes.php,,0,,0,,,45.28225,1,,,-121.68440,Barlow Ridge Hut,,,,,,,1,1,Mt. Hood,1,,,,,Oregon,1,,Hut
,Mazamas,,http://www.mazamas.org/,,1249,2,80,80,,United States,2012-04-05,,,,,,,,,,,http://www.mazamas.org/your/adventure/starts-here/C184/,,0,,0,,,45.30391,3,,,-121.73957,Mazama Lodge,,,,,,,0,1,Mount Hood,1,,,,,Oregon,1,,Hut
6,Three Sisters Backcountry,,https://threesistersbackcountry.com,,,2,6,6,12,United States,2012-04-05,,,,,,,,,,,https://threesistersbackcountry.com/huts/,,0,,0,,,44.09529,,,,-121.62436,Owl & Raven Yurts,,,,,,,1,1,Three Sisters,1,,,,,Oregon,2,,Yurt
,Wallowa Alpine Huts,,http://www.wallowahuts.com/,,,2,10,10,,United States,2012-04-05,,,,,,,,,,,http://www.wallowahuts.com/norway.php,,0,,0,,,45.04434,2,,,-117.20151,Norway Camp,,,,,,,1,1,,1,,,,,Oregon,1,,Yurt
,Wallowa Alpine Huts,,http://www.wallowahuts.com/,,,2,10,10,,United States,2012-04-05,,,,,,,,,,,http://www.wallowahuts.com/mcully.php,,0,,0,,,45.22295,2,,,-117.14888,McCully Camp,,,,,,,1,1,Eagle Cap Wilderness,1,,,,,Oregon,1,,Yurt
,Wing Ridge Ski Tours,,http://www.wingski.com/,,1889,2,12,8,,United States,2012-04-05,,,,,,,,,,,http://www.wingski.com/hutsystem.php,,0,,0,,,-117.08976,2,,,45.17064,Big Sheep Hut,,,,,,,1,1,Wallowa Mountains,1,,,,,Oregon,1,,Hut
,Wing Ridge Ski Tours,,http://www.wingski.com/,,2194,2,12,8,,United States,2012-04-05,,,,,,,,,,,http://www.wingski.com/hutsystem.php,,0,,0,,,45.20484,2,,,-117.08310,Wing Ridge Hut,,,,,,,1,1,Wallowa Mountains,1,,,,,Oregon,1,,Hut
,Allentown Hiking Club,,http://www.allentownhikingclub.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,40.68304,,,0,-75.87422,Allentown Hiking Club Shelter,,,,,,,0,1,,0,,,,,Pennsylvania,1,Appalachian Trail,Shelter
,Delaware Valley Chapter,Appalachian Mountain Clib,http://www.amcdv.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,40.83939,,,0,-75.35978,Leroy A. Smith Shelter,,,,,,,0,1,,0,,,,,Pennsylvania,1,Appalachian Trail,Shelter
,Blue Mountain Eagle Climbing Club,,http://www.bmecc.org/,,,2,16,16,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,40.49558,,,0,-76.41444,William Penn Shelter,,,,,,,0,1,,0,,,,,Pennsylvania,1,Appalachian Trail,Shelter
,Blue Mountain Eagle Climbing Club,,http://www.bmecc.org/,,,2,12,12,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,40.51311,,,0,-76.34676,501 Shelter,,,,,,,0,1,,0,,,,,Pennsylvania,1,Appalachian Trail,Shelter
,Blue Mountain Eagle Climbing Club,,http://www.bmecc.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,40.54932,,,0,-76.15275,Eagle's Nest Shelter,,,,,,,0,1,,0,,,,,Pennsylvania,1,Appalachian Trail,Shelter
,Blue Mountain Eagle Climbing Club,,http://www.bmecc.org/,,,2,8,8,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,40.59054,,,0,-75.94160,Windsor Furnace Shelter,,,,,,,0,1,,0,,,,,Pennsylvania,1,Appalachian Trail,Shelter
,Blue Mountain Eagle Climbing Club,,http://www.bmecc.org/,,,2,6,6,,United States,2012-04-05,,,,,,0,0,,,,,,0,1,0,,,40.63374,,,0,-75.95826,Eckville Shelter,,,,,,,0,1,,0,,,,,Pennsylvania,1,Appalachian Trail,Shelter
